train,test,val
normal_058,tumor_081,tumor_088
test_041,normal_130,tumor_013
tumor_077,normal_055,tumor_083
tumor_079,normal_094,test_002
normal_123,test_035,normal_038
normal_136,tumor_025,normal_007
normal_126,test_023,test_130
tumor_061,normal_085,normal_018
test_103,normal_144,tumor_068
normal_053,test_015,tumor_015
normal_129,test_096,normal_104
test_050,tumor_029,test_112
tumor_043,normal_068,test_021
tumor_005,normal_037,normal_028
test_101,test_115,test_068
test_039,normal_021,test_044
tumor_038,normal_008,test_045
normal_048,normal_041,tumor_037
normal_093,tumor_095,test_036
test_121,normal_141,normal_049
test_029,test_093,normal_035
tumor_016,normal_124,normal_013
tumor_063,normal_108,normal_062
tumor_002,test_037,test_065
tumor_098,tumor_042,tumor_017
test_034,normal_080,test_117
test_105,normal_096,normal_099
normal_034,tumor_020,normal_079
normal_148,normal_091,normal_069
normal_158,normal_012,test_106
normal_156,test_082,tumor_040
test_005,normal_150,test_006
tumor_080,tumor_007,test_091
tumor_019,test_017,test_088
test_033,normal_135,normal_001
tumor_001,normal_119,normal_146
normal_101,tumor_044,normal_030
test_055,tumor_052,test_084
normal_040,test_027,normal_033
test_126,tumor_059,normal_157
normal_098,test_083,test_042
normal_139,normal_147,tumor_004
normal_031,tumor_093,test_089
normal_155,test_100,normal_009
normal_145,tumor_110,normal_074
normal_107,test_062,test_007
test_001,test_092,tumor_100
normal_061,normal_125,normal_137
tumor_109,tumor_072,
tumor_084,tumor_101,
normal_140,normal_014,
normal_159,normal_138,
normal_067,test_069,
test_013,tumor_030,
normal_083,test_025,
test_054,tumor_050,
normal_057,tumor_046,
normal_019,normal_111,
test_122,tumor_035,
test_020,test_125,
normal_134,normal_011,
test_102,normal_036,
test_024,test_114,
normal_112,test_038,
test_052,tumor_028,
normal_089,tumor_012,
normal_024,test_067,
normal_042,tumor_087,
tumor_021,normal_120,
normal_063,test_071,
normal_095,normal_054,
tumor_108,normal_078,
normal_056,normal_127,
test_095,test_086,
tumor_105,normal_154,
normal_132,test_047,
test_072,tumor_041,
test_128,normal_100,
normal_026,test_051,
test_104,test_118,
test_116,,
normal_071,,
normal_122,,
test_011,,
tumor_047,,
test_070,,
tumor_055,,
normal_064,,
test_043,,
test_087,,
test_129,,
tumor_045,,
test_099,,
test_010,,
tumor_065,,
test_046,,
tumor_006,,
tumor_073,,
normal_143,,
test_032,,
normal_110,,
normal_073,,
normal_059,,
test_120,,
tumor_066,,
tumor_091,,
tumor_089,,
test_012,,
normal_084,,
test_078,,
normal_118,,
test_014,,
normal_128,,
tumor_074,,
test_079,,
tumor_076,,
normal_075,,
tumor_058,,
normal_010,,
normal_047,,
test_019,,
normal_005,,
tumor_103,,
normal_087,,
test_107,,
tumor_018,,
test_081,,
normal_115,,
normal_106,,
normal_121,,
normal_032,,
normal_090,,
test_016,,
tumor_078,,
test_085,,
tumor_056,,
tumor_096,,
tumor_014,,
tumor_054,,
normal_160,,
tumor_008,,
normal_117,,
tumor_057,,
normal_149,,
tumor_090,,
normal_133,,
tumor_026,,
tumor_009,,
tumor_062,,
normal_027,,
tumor_082,,
normal_003,,
tumor_060,,
tumor_069,,
test_061,,
normal_039,,
tumor_106,,
normal_105,,
tumor_085,,
test_064,,
normal_046,,
test_040,,
tumor_033,,
tumor_070,,
tumor_048,,
test_090,,
test_030,,
test_031,,
test_075,,
normal_043,,
normal_097,,
normal_044,,
normal_004,,
test_066,,
test_063,,
tumor_071,,
test_008,,
test_080,,
test_077,,
test_022,,
tumor_024,,
test_057,,
normal_025,,
test_028,,
test_109,,
normal_081,,
tumor_036,,
test_060,,
test_003,,
tumor_031,,
tumor_092,,
test_123,,
test_111,,
test_009,,
normal_109,,
tumor_053,,
normal_015,,
normal_103,,
tumor_094,,
test_097,,
normal_002,,
test_059,,
tumor_039,,
normal_152,,
test_073,,
normal_017,,
test_098,,
normal_065,,
normal_060,,
normal_051,,
test_018,,
test_108,,
test_110,,
normal_142,,
normal_045,,
test_074,,
normal_072,,
tumor_023,,
test_026,,
normal_153,,
tumor_027,,
tumor_049,,
normal_076,,
tumor_099,,
tumor_022,,
test_056,,
tumor_111,,
tumor_067,,
test_127,,
tumor_107,,
normal_052,,
tumor_032,,
normal_070,,
tumor_011,,
tumor_104,,
test_048,,
normal_066,,
tumor_097,,
normal_151,,
tumor_086,,
normal_023,,
test_076,,
test_119,,
normal_131,,
normal_077,,
normal_092,,
test_094,,
normal_006,,
tumor_102,,
normal_116,,
test_058,,
normal_029,,
normal_114,,
normal_082,,
tumor_034,,
normal_022,,
test_124,,
normal_020,,
test_113,,
test_004,,
tumor_075,,
normal_016,,
tumor_003,,
normal_102,,
tumor_051,,
normal_088,,
tumor_010,,
normal_113,,
normal_050,,
test_053,,
tumor_064,,
